Generated by TimeView III
Date:;Tue Apr 20 15:48:32 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency BtB

172.001283722045; 250000000.335498;
173.001291184659; 250000000.346497;
174.001298647221; 250000000.359497;
175.001306109911; 250000000.327498;
176.001313572608; 250000000.325748;
177.001321035137; 250000000.367747;
178.001328505869; 250000000.316998;
179.001335968497; 250000000.342997;
180.001343431368; 250000000.282248;
181.001350893937; 250000000.357747;
182.001358356597; 250000000.334998;
183.001365819324; 250000000.318248;
184.001373281972; 250000000.337997;
185.001380744545; 250000000.356747;
186.001388207191; 250000000.338497;
187.00139567796; 250000000.307748;
188.00140314055; 250000000.352497;
189.001410603277; 250000000.318248;
190.001418057911; 250000000.341497;
191.001425520587; 250000000.330998;
192.001432983163; 250000000.355997;
193.001440445796; 250000000.341747;
194.001447908465; 250000000.332748;
