Generated by TimeView III
Date:;Mon May 17 17:09:19 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

481.46; 250012645.24806;
482.46; 250012645.249372;
483.46; 250012645.250154;
484.46; 250012645.248869;
485.47; 250012645.249743;
486.47; 250012645.249829;
487.47; 250012645.249645;
488.47; 250012645.251171;
489.47; 250012645.250515;
490.47; 250012645.251567;
491.47; 250012645.251385;
492.47; 250012645.248695;
493.48; 250012645.252582;
494.48; 250012645.249745;
495.48; 250012645.250545;
496.48; 250012645.250732;
497.48; 250012645.250129;
498.48; 250012645.250338;
499.48; 250012645.250841;
500.48; 250012645.24991;
501.48; 250012645.248514;
502.48; 250012645.25038;
503.49; 250012645.251673;
504.49; 250012645.249821;
505.49; 250012645.248948;
506.49; 250012645.249491;
507.49; 250012645.251383;
508.49; 250012645.248941;
509.49; 250012645.248854;
510.49; 250012645.250011;
511.49; 250012645.250927;
512.49; 250012645.249574;
513.49; 250012645.250252;
514.5; 250012645.249832;
515.5; 250012645.250052;
516.5; 250012645.251199;
517.5; 250012645.251106;
518.5; 250012645.250445;
519.5; 250012645.252179;
520.5; 250012645.249008;
521.5; 250012645.248913;
522.5; 250012645.250463;
523.51; 250012645.251132;
524.51; 250012645.250646;
525.51; 250012645.251004;
526.51; 250012645.250669;
527.51; 250012645.248323;
528.51; 250012645.249432;
529.51; 250012645.248433;
530.51; 250012645.250211;
531.51; 250012645.2489;
532.51; 250012645.248192;
533.51; 250012645.250034;
534.52; 250012645.24992;
535.52; 250012645.248749;
536.52; 250012645.250034;
537.52; 250012645.251097;
538.52; 250012645.249523;
539.52; 250012645.250613;
540.52; 250012645.251283;
541.52; 250012645.248147;
542.52; 250012645.248355;
543.52; 250012645.251177;
544.52; 250012645.251564;
545.53; 250012645.250267;
546.53; 250012645.249271;
547.53; 250012645.249927;
548.53; 250012645.247676;
549.53; 250012645.250152;
550.53; 250012645.251197;
551.53; 250012645.251048;
552.53; 250012645.249169;
553.53; 250012645.250025;
554.54; 250012645.250773;
555.54; 250012645.250448;
556.54; 250012645.250489;
557.54; 250012645.250666;
558.54; 250012645.250039;
559.54; 250012645.250514;
560.54; 250012645.250233;
561.54; 250012645.249757;
562.54; 250012645.250759;
563.54; 250012645.251442;
564.55; 250012645.249607;
565.55; 250012645.250799;
566.55; 250012645.2489;
567.55; 250012645.25046;
568.55; 250012645.249716;
569.55; 250012645.249641;
570.55; 250012645.251166;
571.55; 250012645.249478;
572.55; 250012645.246466;
573.55; 250012645.250548;
574.55; 250012645.24802;
575.56; 250012645.248494;
576.56; 250012645.250841;
577.56; 250012645.25046;
578.56; 250012645.249017;
579.56; 250012645.250497;
580.56; 250012645.248623;
581.56; 250012645.249731;
582.56; 250012645.248057;
583.56; 250012645.248952;
584.57; 250012645.250336;
585.57; 250012645.249309;
586.57; 250012645.249416;
587.57; 250012645.248151;
588.57; 250012645.253027;
589.57; 250012645.250243;
590.57; 250012645.2496;
591.57; 250012645.249064;
592.57; 250012645.249537;
593.57; 250012645.247457;
594.58; 250012645.249498;
595.58; 250012645.250108;
596.58; 250012645.248804;
597.58; 250012645.251515;
598.58; 250012645.250885;
599.58; 250012645.249111;
600.58; 250012645.249229;
601.58; 250012645.249129;
602.58; 250012645.248842;
603.58; 250012645.251327;
604.58; 250012645.248772;
605.59; 250012645.248747;
606.59; 250012645.249621;
607.59; 250012645.249337;
608.59; 250012645.2495;
609.59; 250012645.249642;
610.59; 250012645.248126;
611.59; 250012645.249054;
612.59; 250012645.25009;
613.59; 250012645.248961;
614.6; 250012645.252183;
615.6; 250012645.248778;
616.6; 250012645.251766;
617.6; 250012645.251665;
618.6; 250012645.249375;
619.6; 250012645.24963;
620.6; 250012645.250053;
621.6; 250012645.24951;
622.6; 250012645.249147;
623.6; 250012645.250422;
624.61; 250012645.251477;
625.61; 250012645.252233;
626.61; 250012645.249257;
627.61; 250012645.250394;
628.61; 250012645.248727;
629.61; 250012645.249904;
630.61; 250012645.2496;
631.61; 250012645.248779;
632.61; 250012645.249282;
633.61; 250012645.250445;
634.61; 250012645.250713;
635.62; 250012645.250732;
636.62; 250012645.248936;
637.62; 250012645.249975;
638.62; 250012645.248981;
639.62; 250012645.249958;
640.62; 250012645.250983;
641.62; 250012645.249799;
642.62; 250012645.25065;
643.62; 250012645.250761;
644.63; 250012645.250789;
645.63; 250012645.248334;
646.63; 250012645.25056;
647.63; 250012645.251771;
648.63; 250012645.24855;
649.63; 250012645.25045;
650.63; 250012645.249183;
651.63; 250012645.249247;
652.63; 250012645.250572;
653.63; 250012645.250062;
654.64; 250012645.250267;
655.64; 250012645.249851;
656.64; 250012645.252476;
657.64; 250012645.250508;
658.64; 250012645.252492;
659.64; 250012645.250169;
660.64; 250012645.251558;
661.64; 250012645.250763;
662.64; 250012645.250906;
663.64; 250012645.25126;
