Generated by TimeView III
Date:;Mon May 17 16:13:18 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

385.36; 250012595.749168;
386.36; 250012595.751687;
387.36; 250012595.750202;
388.36; 250012595.749958;
389.36; 250012595.750656;
390.36; 250012595.751304;
391.36; 250012595.750905;
392.37; 250012595.750167;
393.37; 250012595.750457;
394.37; 250012595.750367;
395.37; 250012595.749046;
396.37; 250012595.750544;
397.37; 250012595.749476;
398.37; 250012595.750137;
399.37; 250012595.750061;
400.37; 250012595.751814;
401.38; 250012595.749734;
402.38; 250012595.751186;
403.38; 250012595.750057;
404.38; 250012595.751426;
405.38; 250012595.751348;
406.38; 250012595.74995;
407.38; 250012595.750732;
408.38; 250012595.748705;
409.38; 250012595.750117;
410.38; 250012595.750674;
411.39; 250012595.749828;
412.39; 250012595.751639;
413.39; 250012595.750202;
414.39; 250012595.750486;
415.39; 250012595.74939;
416.39; 250012595.748723;
417.39; 250012595.750482;
418.39; 250012595.750423;
419.39; 250012595.749622;
420.39; 250012595.750668;
421.39; 250012595.750493;
422.4; 250012595.749768;
423.4; 250012595.750257;
424.4; 250012595.749083;
425.4; 250012595.749346;
426.4; 250012595.749118;
427.4; 250012595.748293;
428.4; 250012595.749296;
429.4; 250012595.752256;
430.4; 250012595.750569;
431.41; 250012595.749824;
432.41; 250012595.752106;
433.41; 250012595.750044;
434.41; 250012595.750305;
435.41; 250012595.75024;
436.41; 250012595.750655;
437.41; 250012595.751008;
438.41; 250012595.749702;
439.41; 250012595.750854;
440.41; 250012595.747957;
441.42; 250012595.750245;
442.42; 250012595.751249;
443.42; 250012595.75111;
444.42; 250012595.748524;
445.42; 250012595.750134;
446.42; 250012595.751291;
447.42; 250012595.751736;
448.42; 250012595.749033;
449.42; 250012595.750802;
450.42; 250012595.748722;
451.42; 250012595.748874;
452.43; 250012595.751149;
453.43; 250012595.750528;
454.43; 250012595.749405;
455.43; 250012595.7504;
456.43; 250012595.749532;
457.43; 250012595.751497;
458.43; 250012595.749433;
459.43; 250012595.750406;
460.43; 250012595.749655;
461.44; 250012595.750981;
462.44; 250012595.750072;
463.44; 250012595.750968;
464.44; 250012595.753248;
465.44; 250012595.749881;
466.44; 250012595.750888;
467.44; 250012595.752019;
468.44; 250012595.751509;
469.44; 250012595.74977;
470.45; 250012595.750586;
471.45; 250012595.751222;
472.45; 250012595.749946;
473.45; 250012595.751287;
474.45; 250012595.749969;
475.45; 250012595.751308;
476.45; 250012595.750985;
477.45; 250012595.749698;
478.45; 250012595.749871;
479.45; 250012595.749453;
480.45; 250012595.749408;
481.45; 250012595.749087;
482.46; 250012595.750156;
483.46; 250012595.749602;
484.46; 250012595.749874;
485.46; 250012595.749708;
486.46; 250012595.750283;
487.46; 250012595.751907;
488.46; 250012595.750086;
489.46; 250012595.751533;
490.46; 250012595.74879;
491.46; 250012595.749461;
492.47; 250012595.74922;
493.47; 250012595.750073;
494.47; 250012595.75257;
495.47; 250012595.750721;
496.47; 250012595.74976;
497.47; 250012595.74881;
498.47; 250012595.748413;
499.47; 250012595.748535;
500.47; 250012595.750594;
501.48; 250012595.749748;
502.48; 250012595.7506;
503.48; 250012595.748336;
504.48; 250012595.749429;
505.48; 250012595.749154;
506.48; 250012595.748556;
507.48; 250012595.75023;
508.48; 250012595.750627;
509.48; 250012595.74973;
510.48; 250012595.749557;
511.48; 250012595.75019;
512.49; 250012595.75002;
513.49; 250012595.752511;
514.49; 250012595.751602;
515.49; 250012595.750936;
516.49; 250012595.748724;
517.49; 250012595.749809;
518.49; 250012595.749567;
519.49; 250012595.750578;
520.49; 250012595.749952;
521.49; 250012595.750836;
522.5; 250012595.751781;
523.5; 250012595.750848;
524.5; 250012595.750483;
525.5; 250012595.748874;
526.5; 250012595.752005;
527.5; 250012595.750627;
528.5; 250012595.748532;
529.5; 250012595.74985;
530.51; 250012595.748564;
531.51; 250012595.748629;
532.51; 250012595.749267;
533.51; 250012595.75065;
534.51; 250012595.751179;
535.51; 250012595.752555;
536.51; 250012595.750613;
537.51; 250012595.74956;
