Generated by TimeView III
Date:;Mon May 17 15:22:51 2021Instrument:;PENDULUM, CNT-91, 232653, V1.28 25 Aug 2010 11:52
Data:;Frequency

76.07; 250012447.502018;
77.07; 250012447.500014;
78.07; 250012447.500679;
79.07; 250012447.49887;
80.07; 250012447.501262;
81.08; 250012447.502274;
82.08; 250012447.499454;
83.08; 250012447.500589;
84.08; 250012447.498976;
85.08; 250012447.498884;
86.08; 250012447.498418;
87.08; 250012447.499854;
88.08; 250012447.498033;
89.08; 250012447.500071;
90.08; 250012447.500844;
91.09; 250012447.49863;
92.09; 250012447.498493;
93.09; 250012447.499462;
94.09; 250012447.499586;
95.09; 250012447.500292;
96.09; 250012447.498956;
97.09; 250012447.499794;
98.09; 250012447.499777;
99.09; 250012447.500952;
100.09; 250012447.50068;
101.09; 250012447.498724;
102.09; 250012447.500074;
103.1; 250012447.501157;
104.1; 250012447.499686;
105.1; 250012447.499339;
106.1; 250012447.499291;
107.1; 250012447.50232;
108.1; 250012447.499775;
109.1; 250012447.499954;
110.1; 250012447.499828;
111.11; 250012447.500415;
112.11; 250012447.50106;
113.11; 250012447.501096;
114.11; 250012447.499754;
115.11; 250012447.49939;
116.11; 250012447.500589;
117.11; 250012447.500597;
118.11; 250012447.500277;
119.11; 250012447.499619;
120.11; 250012447.499167;
121.11; 250012447.498191;
122.12; 250012447.499989;
123.12; 250012447.501938;
124.12; 250012447.501304;
125.12; 250012447.501202;
126.12; 250012447.500477;
127.12; 250012447.499445;
128.12; 250012447.499888;
129.12; 250012447.501861;
130.12; 250012447.496929;
131.12; 250012447.501104;
132.12; 250012447.50013;
133.13; 250012447.499975;
134.13; 250012447.500455;
135.13; 250012447.501465;
136.13; 250012447.499265;
137.13; 250012447.500364;
138.13; 250012447.50099;
139.13; 250012447.500588;
140.13; 250012447.501628;
141.13; 250012447.500198;
142.14; 250012447.500975;
143.14; 250012447.499796;
144.14; 250012447.500214;
145.14; 250012447.500783;
146.14; 250012447.50019;
147.14; 250012447.499127;
148.14; 250012447.499525;
149.14; 250012447.499279;
150.14; 250012447.501439;
151.14; 250012447.501104;
152.14; 250012447.501157;
153.14; 250012447.499606;
154.14; 250012447.501341;
155.15; 250012447.498365;
156.15; 250012447.500537;
157.15; 250012447.500389;
158.15; 250012447.501312;
159.15; 250012447.501859;
160.15; 250012447.499303;
161.15; 250012447.49995;
162.15; 250012447.498579;
163.15; 250012447.500683;
164.15; 250012447.499952;
165.16; 250012447.498576;
166.16; 250012447.500383;
167.16; 250012447.501354;
168.16; 250012447.502063;
169.16; 250012447.499386;
170.16; 250012447.500002;
171.16; 250012447.498769;
172.16; 250012447.499664;
173.16; 250012447.501769;
174.16; 250012447.499749;
175.16; 250012447.499729;
176.17; 250012447.498258;
177.17; 250012447.500311;
178.17; 250012447.501233;
179.17; 250012447.501029;
180.17; 250012447.49949;
181.17; 250012447.50122;
182.17; 250012447.501446;
183.17; 250012447.49843;
184.17; 250012447.499876;
185.18; 250012447.501028;
186.18; 250012447.498684;
187.18; 250012447.499092;
188.18; 250012447.499495;
189.18; 250012447.499677;
190.18; 250012447.504294;
191.18; 250012447.498529;
192.18; 250012447.498897;
193.18; 250012447.49844;
194.18; 250012447.497567;
195.19; 250012447.501534;
196.19; 250012447.502231;
197.19; 250012447.498987;
198.19; 250012447.501372;
199.19; 250012447.500705;
200.19; 250012447.501262;
201.19; 250012447.502454;
202.19; 250012447.499208;
203.19; 250012447.501266;
204.19; 250012447.500013;
205.19; 250012447.50115;
206.2; 250012447.501551;
207.2; 250012447.499372;
208.2; 250012447.500913;
209.2; 250012447.500345;
210.2; 250012447.49885;
211.2; 250012447.499178;
212.2; 250012447.501071;
213.2; 250012447.500035;
214.2; 250012447.500414;
215.21; 250012447.49889;
216.21; 250012447.500877;
217.21; 250012447.502164;
218.21; 250012447.500464;
219.21; 250012447.500175;
220.21; 250012447.499335;
221.21; 250012447.501072;
222.21; 250012447.49939;
223.21; 250012447.501276;
224.21; 250012447.500851;
225.22; 250012447.499194;
226.22; 250012447.498842;
227.22; 250012447.501137;
228.22; 250012447.497392;
229.22; 250012447.498911;
230.22; 250012447.499917;
231.22; 250012447.500888;
232.22; 250012447.500736;
233.22; 250012447.50261;
234.22; 250012447.499723;
235.22; 250012447.498844;
236.23; 250012447.499914;
237.23; 250012447.498786;
238.23; 250012447.498907;
239.23; 250012447.501063;
240.23; 250012447.498708;
241.23; 250012447.501708;
242.23; 250012447.49983;
243.23; 250012447.500656;
244.23; 250012447.498809;
245.23; 250012447.498968;
246.23; 250012447.502103;
247.24; 250012447.501382;
248.24; 250012447.498729;
249.24; 250012447.499383;
250.24; 250012447.499201;
251.24; 250012447.500649;
252.24; 250012447.500972;
253.24; 250012447.498953;
254.25; 250012447.499416;
255.25; 250012447.498759;
256.25; 250012447.499867;
257.25; 250012447.500641;
258.25; 250012447.501121;
259.25; 250012447.499897;
